firstname,middleInitial,lastname,username,email,streetaddress,city,zipcode,state,country,department,password,telephone,jobtitle,company,ou
Dep1-adm,,,Dep1-adm,,,Oslo,621,,Norway,Dep1,Sommer2010!,12345678,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep1-usr1,,,Dep1-usr1,,,Oslo,621,,Norway,Dep1,Sommer2010!,12345679,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep1-usr2,,,Dep1-usr2,,,Oslo,621,,Norway,Dep1,Sommer2010!,12345680,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep1-usr3,,,Dep1-usr3,,,Oslo,621,,Norway,Dep1,Sommer2010!,12345681,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep1-usr4,,,Dep1-usr4,,,Oslo,621,,Norway,Dep1,Sommer2010!,12345682,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep1-usr5,,,Dep1-usr5,,,Oslo,621,,Norway,Dep1,Sommer2010!,12345683,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep2-Adm,,,Dep2-Adm,,,Oslo,622,,Norway,Dep7,Sommer2010!,12345684,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep2-USR1,,,Dep2-USR1,,,Oslo,623,,Norway,Dep8,Sommer2010!,12345685,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep2-USR2,,,Dep2-USR2,,,Oslo,624,,Norway,Dep9,Sommer2010!,12345686,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep2-USR3,,,Dep2-USR3,,,Oslo,625,,Norway,Dep10,Sommer2010!,12345687,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep2-USR4,,,Dep2-USR4,,,Oslo,626,,Norway,Dep11,Sommer2010!,12345688,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep2-USR5,,,Dep2-USR5,,,Oslo,627,,Norway,Dep12,Sommer2010!,12345689,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep3-Adm,,,Dep3-Adm,,,Oslo,628,,Norway,Dep13,Sommer2010!,12345690,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep3-USR1,,,Dep3-USR1,,,Oslo,629,,Norway,Dep14,Sommer2010!,12345691,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep3-USR2,,,Dep3-USR2,,,Oslo,630,,Norway,Dep15,Sommer2010!,12345692,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep3-USR3,,,Dep3-USR3,,,Oslo,631,,Norway,Dep16,Sommer2010!,12345693,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep3-USR4,,,Dep3-USR4,,,Oslo,632,,Norway,Dep17,Sommer2010!,12345694,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
Dep3-USR5,,,Dep3-USR5,,,Oslo,633,,Norway,Dep18,Sommer2010!,12345695,Test user,BCM,"CN=Users,DC=ad,DC=BCM,DC=COM"
